"","spName","prevAll","x","y","prevBins","xBins","yBins","weights"
"2575","Rana_chensinensis",1389,118.28,41.45,5,9,9,1
"2173","Rhinella_spinulosa",555,-69.64,-26.41,2,2,2,0.5
"2411","Dendropsophus_brevifrons",618,-67.73,-3.18,3,2,5,0.5
"2125","Pseudophryne_raveni",53,151.31,-24.59,1,10,3,0.125
"2678","Phrynobatrachus_natalensis",3831,22.39,-4.19,14,5,5,1
"2653","Ptychadena_anchietae",2442,31.21,-7.58,9,6,4,1
"1008","Hyalinobatrachium_taylori",197,-58.77,4.43,1,3,5,0.0227272727272727
"1721","Kaloula_assamensis",14,91,26.54,1,8,7,0.00917431192660551
"2683","Lissotriton_vulgaris",4688,30.46,53.97,17,6,10,1
"1523","Nyctibatrachus_humayuni",13,73.75,18.1,1,7,7,0.2
"1021","Otophryne_steyermarki",17,-61.07,5.28,1,3,5,0.0227272727272727
"2040","Andrias_japonicus",58,134.17,34.56,1,9,8,0.0333333333333333
"2414","Ambystoma_opacum",866,-85.11,35.92,3,2,8,0.142857142857143
"2063","Rana_huanrensis",19,128.04,37.64,1,9,8,0.0333333333333333
"2463","Ichthyosaura_alpestris",871,11.85,47.32,3,5,9,0.333333333333333
"2680","Fejervarya_limnocharis",3831,99.96,19.83,14,8,7,1
"1198","Pelophylax_bergeri",135,13.64,41.11,1,5,9,0.05
"2572","Microhyla_ornata",1375,79.84,22.57,5,7,7,0.5
"2592","Hypsiboas_calcaratus",1629,-64.23,-1.95,6,3,5,0.142857142857143
"2623","Phrynomantis_bifasciatus",1758,28.85,-14.37,7,6,4,1
"2633","Leptodactylus_bolivianus",2230,-65.2,-1.39,8,2,5,1
"2648","Hypsiboas_boans",2361,-63.24,-3.04,9,3,5,0.333333333333333
"1966","Litoria_napaea",12,137.92,-3.38,1,9,5,0.0217391304347826
"1042","Leptopelis_macrotis",96,-7.37,6.15,1,4,5,0.25
"1840","Litoria_ewingii",214,144.44,-37.76,1,9,1,0.333333333333333
"2645","Pelophylax_nigromaculatus",2056,119.74,37.39,8,9,8,1
"735","Melanophryniscus_cupreuscapularis",23,-58.14,-28.25,1,3,2,0.0212765957446809
"2395","Litoria_brevipes",354,148.46,-25.66,2,10,3,1
"60","Ambystoma_californiense",35,-120.98,36.99,1,1,8,0.0434782608695652
"1801","Amolops_mantzorum",67,102.06,29.66,1,8,8,0.0222222222222222
"2447","Arthroleptis_variabilis",645,11.42,2.84,3,5,5,0.0909090909090909
"2622","Pelophylax_lessonae",1950,24.63,51.94,7,5,10,1
"1160","Petropedetes_johnstoni",15,9.68,3.95,1,5,5,0.015625
"2662","Pseudacris_maculata",3031,-101.49,48.84,11,1,9,1
"1858","Myobatrachus_gouldii",70,117.69,-32.41,1,9,2,0.04
"2197","Hypodactylus_nigrovittatus",329,-74.07,-4.47,2,2,5,0.2
"1500","Duttaphrynus_parietalis",19,76.3,11.64,1,7,6,0.0434782608695652
"1017","Microcaecilia_taylori",14,-56.68,3.21,1,3,5,0.0227272727272727
"2646","Rhinella_schneideri",2376,-51.71,-17.12,9,3,3,1
"2430","Physalaemus_marmoratus",765,-49.42,-18.1,3,3,3,0.111111111111111
"2539","Hylarana_erythraea",980,103.08,8.96,4,8,6,0.333333333333333
"2007","Philautus_poecilius",11,125.07,8.48,1,9,6,0.0285714285714286
"2321","Mertensophryne_taitana",432,33.13,-8.12,2,6,4,0.0833333333333333
"2304","Pelophylax_perezi",339,-3.34,40.96,2,5,9,0.333333333333333
"2167","Hypopachus_variolosus",422,-94.81,18.91,2,1,7,0.5
"2137","Cornufer_boulengeri",28,150.41,-5.48,1,10,4,0.0256410256410256
"2552","Hypsiboas_albopunctatus",1441,-51.5,-17.28,5,3,3,0.5
"2643","Hyla_arborea",2174,19.62,45.85,8,5,9,1
"2491","Litoria_latopalmata",628,146.76,-26.46,3,10,2,1
"2544","Platyplectrum_ornatum",925,140.51,-20.17,4,9,3,1
"2165","Cornufer_magnus",13,152.17,-3.75,1,10,5,1
"2071","Glandirana_emeljanovi",235,126.68,40.42,1,9,9,0.142857142857143
"2521","Arthroleptis_poecilonotus",986,10.44,4.47,4,5,5,0.333333333333333
"625","Eleutherodactylus_riparius",60,-80.26,21.97,1,2,7,0.0222222222222222
"203","Osteocephalus_subtilis",60,-70.57,-9.18,1,2,4,0.0117647058823529
"2530","Chiromantis_xerampelina",1076,30.69,-16.19,4,6,3,0.5
"2657","Pseudis_paradoxa",2782,-59.92,-7.07,10,3,4,0.5
"2529","Cacosternum_boettgeri",935,25.58,-23.25,4,6,3,0.5
"118","Hylorina_sylvatica",74,-72.99,-41.99,1,2,1,0.0714285714285714
"1826","Oreolalax_lichuanensis",56,108.29,29.19,1,8,8,0.0222222222222222
"2461","Pelophylax_saharicus",702,4.13,31.28,3,5,8,1
"714","Plethodon_wehrlei",92,-79.9,39.5,1,2,9,0.142857142857143
"2599","Litoria_caerulea",1617,139.59,-22,6,9,3,1
"981","Rhinella_hoogmoedi",178,-40.32,-14.22,1,3,4,0.0204081632653061
"2305","Afrixalus_fornasini",420,36.31,-15.47,2,6,3,0.166666666666667
"2524","Phrynomantis_microps",1127,4.29,10.03,4,5,6,0.333333333333333
"2299","Hyperolius_concolor",438,-0.25,7.19,2,5,6,0.5
"2131","Cophixalus_verrucosus",37,149.84,-9.52,1,10,4,0.0256410256410256
"2656","Physalaemus_cuvieri",2611,-50.83,-13.04,10,3,4,0.5
"2323","Chiromantis_kelleri",415,43.5,5.69,2,6,5,0.5
"1378","Gephyromantis_granulatus",17,49.34,-14.19,1,6,4,0.0185185185185185
"2036","Pelophylax_fukienensis",209,118.47,27.69,1,9,7,0.0555555555555556
"1078","Discoglossus_galganoi",161,-6.31,40.4,1,4,9,0.2
"2070","Bufo_stejnegeri",63,125.87,39.26,1,9,9,0.142857142857143
"175","Epicrionops_bicolor",39,-74.4,-8.84,1,2,4,0.0117647058823529
"2459","Phrynobatrachus_calcaratus",618,1.12,7.13,3,5,6,0.2
"2668","Lithobates_pipiens",3279,-93.76,45.42,12,2,9,1
"2540","Kaloula_pulchra",1065,101.22,16.39,4,8,6,0.333333333333333
"2025","Buergeria_japonica",29,123.49,24.8,1,9,7,0.0555555555555556
"2049","Hynobius_kimurae",49,136.43,35.67,1,9,8,0.0333333333333333
"2301","Hyla_meridionalis",412,-1.73,37.43,2,5,8,1
"2397","Anaxyrus_debilis",636,-102.51,30.2,3,1,8,0.25
"1040","Amnirana_occidentalis",25,-6.03,6.29,1,4,5,0.25
"2497","Scinax_cruentommus",916,-65.99,-4.14,4,2,5,1
"1405","Nectophrynoides_viviparus",12,36.25,-8.17,1,6,4,0.0185185185185185
"2122","Litoria_gracilenta",176,148.31,-21.26,1,10,3,0.125
"2510","Dendropsophus_melanargyreus",944,-54.83,-8.93,4,3,4,0.166666666666667
"2608","Phyllomedusa_vaillantii",1744,-61.87,-4.93,7,3,4,0.166666666666667
"320","Hyloscirtus_larinopygion",24,-76.27,4.06,1,2,5,0.00471698113207547
