"","spName","prevAll","x","y","prevBins","xBins","yBins","weights"
"3903","Canis_mesomelas",2416,30.78,-10.32,3,6,4,0.0833333333333333
"3553","Rhinophylla_fischerae",1607,-65.43,-3.5,2,4,4,0.0357142857142857
"4158","Tadarida_brasiliensis",5751,-79.75,3.45,6,3,5,0.5
"3613","Myotis_welwitschii",1611,31.77,-11.33,2,6,4,0.024390243902439
"3818","Rousettus_amplexicaudatus",2095,117.75,3.92,2,9,5,0.142857142857143
"1310","Taterillus_tranieri",48,-7.92,15.86,1,5,6,0.0384615384615385
"4139","Ichneumia_albicauda",5212,24.05,0.87,5,6,5,0.142857142857143
"3655","Hypsignathus_monstrosus",1134,13.27,1.87,2,6,5,0.0178571428571429
"3500","Sigmodon_hispidus",1172,-93.7,33.39,2,3,7,0.2
"4178","Herpestes_sanguineus",5945,22.42,-2.19,6,6,5,0.142857142857143
"3721","Arctogalidia_trivirgata",1175,104.32,9.91,2,8,5,0.125
"3449","Bassariscus_astutus",1747,-106.06,31.35,2,2,7,0.142857142857143
"1210","Sorex_maritimensis",51,-64.41,45.14,1,4,8,1
"4221","Castor_canadensis",8441,-106.35,49.88,9,2,9,1
"1288","Chlorocebus_sabaeus",570,-8.14,11.63,1,5,6,0.0384615384615385
"1408","Felis_nigripes",773,23.03,-25.72,1,6,3,0.0135135135135135
"3590","Chaerephon_chapini",1550,26,-7.77,2,6,4,0.024390243902439
"916","Carterodon_sulcidens",129,-45.68,-17.24,1,4,3,0.00636942675159236
"3984","Saccolaimus_flaviventris",2364,136.84,-24.24,3,9,3,0.166666666666667
"3403","Planigale_novaeguineae",26,142.4,-8.75,1,10,4,0.0072992700729927
"1464","Beamys_hindei",178,36.09,-9.81,1,6,4,0.0104166666666667
"4207","Eptesicus_nilssonii",6761,61.58,56.26,7,7,9,1
"4159","Mustela_frenata",5601,-96.41,33.89,6,3,7,1
"3591","Chaerephon_nigeriae",1782,19.84,-4.83,2,6,4,0.024390243902439
"3702","Pipistrellus_pygmaeus",1418,11.93,50.1,2,6,9,0.333333333333333
"2125","Meriones_persicus",982,56.44,33.69,1,7,7,0.032258064516129
"2212","Callosciurus_albescens",35,97.09,4.28,1,8,5,0.0136986301369863
"1840","Psammomys_vexillaris",82,9.18,33.38,1,6,7,0.0294117647058824
"1719","Mylomys_dybowskii",535,22.47,3.04,1,6,5,0.00423728813559322
"2008","Paraxerus_flavovittis",269,37.87,-11.71,1,7,4,0.05
"127","Sylvilagus_robustus",32,-103.47,30.14,1,2,7,0.01
"2582","Tamiops_swinhoei",435,103.63,29.6,1,8,7,0.00628930817610063
"3444","Microtus_sachalinensis",46,142.9,50.79,1,10,9,0.5
"3516","Myocastor_coypus",1726,-63.72,-34.27,2,4,2,0.25
"4075","Pipistrellus_tenuis",3291,94.05,17.96,4,8,6,0.333333333333333
"1879","Sorex_samniticus",106,13.51,42.12,1,6,8,0.0217391304347826
"3834","Pipistrellus_alaschanicus",1373,116.48,38.07,2,9,8,0.111111111111111
"1177","Neusticomys_venezuelae",66,-63.59,5.64,1,4,5,0.0161290322580645
"2340","Kerivoula_titania",246,103.43,18.29,1,8,6,0.00666666666666667
"313","Necromys_amoenus",96,-68.79,-16.87,1,3,3,0.0285714285714286
"9","Sorex_yukonicus",52,-151.94,64.05,1,1,10,0.142857142857143
"1213","Lemmus_portenkoi",21,-59.42,71.2,1,4,10,0.5
"4167","Leopardus_pardalis",5290,-62.59,-5.69,6,4,4,0.1
"3942","Crocidura_leucodon",2126,26.55,44.36,3,6,8,0.125
"1206","Natalus_stramineus",17,-61.69,16.25,1,4,6,0.111111111111111
"1626","Crossarchus_ansorgei",241,21.33,-1.77,1,6,5,0.00423728813559322
"4189","Lepus_europaeus",5656,40.65,49.4,6,7,9,1
"4088","Zapus_hudsonius",5015,-101.42,50.52,5,2,9,0.2
"4199","Peromyscus_maniculatus",6649,-100.5,45.61,7,3,8,1
"244","Histiotus_magellanicus",242,-71.94,-47.82,1,3,1,0.0333333333333333
"4257","Mustela_erminea",27375,18.08,58.43,27,6,9,0.5
"3540","Marmosa_lepida",1459,-66.1,-2.95,2,4,4,0.0357142857142857
"2082","Acomys_mullah",82,42.32,11.14,1,7,6,0.0434782608695652
"3878","Molossops_mattogrossensis",2359,-53.93,-6.11,3,4,4,0.0357142857142857
"3987","Martes_flavigula",3010,107.67,23.15,3,9,7,0.5
"4172","Pecari_tajacu",5629,-65.21,-3.06,6,4,4,0.1
"4181","Procavia_capensis",5891,21.4,6.84,6,6,5,0.142857142857143
"2204","Crocidura_lepidura",103,103.17,-2.65,1,8,4,0.2
"3931","Phataginus_tricuspis",2111,15.06,1.04,3,6,5,0.05
"509","Glossophaga_longirostris",618,-66.66,6.41,1,3,5,0.00581395348837209
"3880","Oecomys_bicolor",3001,-62.21,-4.99,3,4,4,0.0357142857142857
"3493","Nasua_narica",1196,-95.21,18.78,2,3,6,0.25
"4056","Myotis_nattereri",3511,18.98,47.89,4,6,8,0.5
"2673","Chaerephon_jobensis",993,133.16,-17.49,1,9,3,0.0172413793103448
"1331","Lepus_granatensis",228,-4.24,40,1,5,8,0.0666666666666667
"2922","Hyosciurus_heinrichi",22,120.09,-2.27,1,9,5,0.00440528634361234
"2152","Ellobius_lutescens",172,47.72,36.21,1,7,8,0.0161290322580645
"3844","Reithrodontomys_megalotis",2343,-106.45,37.44,3,2,8,0.5
"4036","Mungos_mungo",3800,26.02,-4.4,4,6,4,0.111111111111111
"4147","Gazella_subgutturosa",4388,69.34,36.5,5,7,8,0.5
"3934","Crocidura_viaria",2968,11.52,12.57,3,6,6,0.2
"3856","Cavia_aperea",2388,-56.9,-17,3,4,3,0.166666666666667
"995","Philander_frenatus",392,-47.39,-22.62,1,4,3,0.00636942675159236
"824","Akodon_dolores",41,-64.87,-31.36,1,4,2,0.0204081632653061
"3991","Murina_hilgendorfi",2152,120.93,50.77,3,9,9,1
"4063","Plecotus_auritus",3883,22.35,51.07,4,6,9,0.142857142857143
"3972","Macaca_mulatta",2952,92.32,26.14,3,8,7,0.5
