"x","y","species","presence","group"
-73.25,-37.25,"Alsodes vanzolinii",1,"Amphibians"
-71.75,-38.75,"Alsodes verrucosus",1,"Amphibians"
-72.25,-40.75,"Alsodes verrucosus",1,"Amphibians"
-71.75,-38.25,"Alsodes vittatus",1,"Amphibians"
-71.25,-38.25,"Alsodes vittatus",1,"Amphibians"
39.75,7.25,"Altiphrynoides malcolmi",1,"Amphibians"
39.75,6.75,"Altiphrynoides malcolmi",1,"Amphibians"
2.75,39.75,"Alytes muletensis",1,"Amphibians"
-99.75,19.25,"Ambystoma altamirani",1,"Amphibians"
-99.25,19.25,"Ambystoma altamirani",1,"Amphibians"
-99.75,18.75,"Ambystoma altamirani",1,"Amphibians"
-99.25,18.75,"Ambystoma altamirani",1,"Amphibians"
-101.25,19.75,"Ambystoma amblycephalum",1,"Amphibians"
-102.25,19.75,"Ambystoma andersoni",1,"Amphibians"
-99.75,19.75,"Ambystoma bombypellum",1,"Amphibians"
-99.25,19.75,"Ambystoma bombypellum",1,"Amphibians"
-101.75,19.75,"Ambystoma dumerilii",1,"Amphibians"
-103.25,20.75,"Ambystoma flavipiperatum",1,"Amphibians"
-103.25,20.25,"Ambystoma flavipiperatum",1,"Amphibians"
-99.75,19.75,"Ambystoma granulosum",1,"Amphibians"
-98.75,19.25,"Ambystoma leorae",1,"Amphibians"
-99.75,19.25,"Ambystoma lermaense",1,"Amphibians"
-99.25,19.25,"Ambystoma mexicanum",1,"Amphibians"
-98.75,19.25,"Ambystoma mexicanum",1,"Amphibians"
-101.25,19.75,"Ambystoma ordinarium",1,"Amphibians"
-100.75,19.75,"Ambystoma ordinarium",1,"Amphibians"
-100.25,19.75,"Ambystoma ordinarium",1,"Amphibians"
-101.25,19.25,"Ambystoma ordinarium",1,"Amphibians"
-100.75,19.25,"Ambystoma ordinarium",1,"Amphibians"
-100.25,19.25,"Ambystoma ordinarium",1,"Amphibians"
-99.25,19.25,"Ambystoma rivulare",1,"Amphibians"
-99.75,18.75,"Ambystoma rivulare",1,"Amphibians"
-99.75,18.25,"Ambystoma rivulare",1,"Amphibians"
-107.75,29.25,"Ambystoma silvense",1,"Amphibians"
-107.75,28.75,"Ambystoma silvense",1,"Amphibians"
-105.25,24.25,"Ambystoma silvense",1,"Amphibians"
-105.25,23.75,"Ambystoma silvense",1,"Amphibians"
-104.75,23.75,"Ambystoma silvense",1,"Amphibians"
-97.75,19.25,"Ambystoma taylori",1,"Amphibians"
-97.25,19.25,"Ambystoma taylori",1,"Amphibians"
-77.75,1.75,"Ameerega andina",1,"Amphibians"
-60.25,-18.25,"Ameerega boehmei",1,"Amphibians"
-59.75,-18.25,"Ameerega boehmei",1,"Amphibians"
-59.25,-18.25,"Ameerega boehmei",1,"Amphibians"
-76.25,-5.75,"Ameerega cainarachi",1,"Amphibians"
-79.75,0.25,"Ameerega erythromos",1,"Amphibians"
-79.25,-0.75,"Ameerega erythromos",1,"Amphibians"
-75.75,1.25,"Ameerega ingeri",1,"Amphibians"
-75.25,-10.25,"Ameerega planipaleae",1,"Amphibians"
-75.25,-10.75,"Ameerega planipaleae",1,"Amphibians"
-75.75,-5.75,"Ameerega pongoensis",1,"Amphibians"
-76.25,-6.25,"Ameerega pongoensis",1,"Amphibians"
-75.75,-6.25,"Ameerega pongoensis",1,"Amphibians"
-76.25,-6.75,"Ameerega pongoensis",1,"Amphibians"
-75.75,-6.75,"Ameerega pongoensis",1,"Amphibians"
-75.25,-6.75,"Ameerega pongoensis",1,"Amphibians"
-76.25,-7.25,"Ameerega pongoensis",1,"Amphibians"
-75.75,-7.25,"Ameerega pongoensis",1,"Amphibians"
-75.25,-7.25,"Ameerega pongoensis",1,"Amphibians"
-51.75,1.75,"Ameerega pulchripecta",1,"Amphibians"
-51.25,1.75,"Ameerega pulchripecta",1,"Amphibians"
-50.75,1.75,"Ameerega pulchripecta",1,"Amphibians"
-51.75,1.25,"Ameerega pulchripecta",1,"Amphibians"
-51.25,1.25,"Ameerega pulchripecta",1,"Amphibians"
-50.75,1.25,"Ameerega pulchripecta",1,"Amphibians"
-51.75,0.75,"Ameerega pulchripecta",1,"Amphibians"
-51.25,0.75,"Ameerega pulchripecta",1,"Amphibians"
-75.75,-8.25,"Ameerega rubriventris",1,"Amphibians"
-75.25,-8.25,"Ameerega rubriventris",1,"Amphibians"
-74.75,-8.25,"Ameerega rubriventris",1,"Amphibians"
-75.75,-8.75,"Ameerega rubriventris",1,"Amphibians"
-75.25,-8.75,"Ameerega rubriventris",1,"Amphibians"
-74.75,-8.75,"Ameerega rubriventris",1,"Amphibians"
-75.75,-9.25,"Ameerega rubriventris",1,"Amphibians"
-75.25,-9.25,"Ameerega rubriventris",1,"Amphibians"
-76.25,-8.75,"Ameerega silverstonei",1,"Amphibians"
-75.75,-8.75,"Ameerega silverstonei",1,"Amphibians"
-76.25,-9.25,"Ameerega silverstonei",1,"Amphibians"
-75.75,-9.25,"Ameerega silverstonei",1,"Amphibians"
-75.25,-10.25,"Ameerega smaragdina",1,"Amphibians"
-74.75,-10.25,"Ameerega smaragdina",1,"Amphibians"
-75.25,-10.75,"Ameerega smaragdina",1,"Amphibians"
-74.75,-10.75,"Ameerega smaragdina",1,"Amphibians"
-67.25,-15.25,"Ameerega yungicola",1,"Amphibians"
