"x","y","cropland_irrigated","cropland_rainfed","cropland_total","pastures"
106.25,37.75,0.0641377245386442,0.0907715703050296,0.15490929360191,0.694969671964645
106.75,37.75,0,0.0588248370836178,0.0588248370836178,0.813018637895584
107.25,37.75,0,0.0696821810056766,0.0696821810056766,0.776720505952835
107.75,37.75,0,0.0335596065968275,0.0335596065968275,0.797404630978902
108.25,37.75,0,0.051618263994654,0.051618263994654,0.754272602001826
108.75,37.75,0.000290006965709229,0.051321063314875,0.051611070210735,0.733201865355174
109.25,37.75,0,0.0849910226960977,0.0849910226960977,0.625426741441091
109.75,37.75,0.00358294594431451,0.209180224438508,0.212763171394666,0.414069216450055
110.25,37.75,0.00124664289566378,0.211541610459487,0.212788253525893,0.3963008304437
110.75,37.75,0.0334465806256048,0.372865936160088,0.406312522292137,0.377592894434929
111.25,37.75,0.00361572938660781,0.272514853874842,0.276130582888921,0.265416669845581
111.75,37.75,0,0.168659758816163,0.168659758816163,0.168274833261967
112.25,37.75,0.128797246019046,0.134331486622492,0.263128732144833,0.433084665735563
