"x","y","biofuel_cropland_irrigated","biofuel_cropland_rainfed","cropland_irrigated","cropland_rainfed","cropland_total","pastures"
-53.25,81.25,0,0,0,0,0,0
-52.75,81.25,0,0,0,0,0,0
-52.25,81.25,0,0,0,0,0,0
-51.75,81.25,0,0,0,0,0,0
-51.25,81.25,0,0,0,0,0,0
-50.75,81.25,0,0,0,0,0,0
-50.25,81.25,0,0,0,0,0,0
-49.75,81.25,0,0,0,0,0,0
-49.25,81.25,0,0,0,0,0,0
-48.75,81.25,0,0,0,0,0,0
-48.25,81.25,0,0,0,0,0,0
-47.75,81.25,0,0,0,0,0,0
-47.25,81.25,0,0,0,0,0,0
-46.75,81.25,0,0,0,0,0,0
-46.25,81.25,0,0,0,0,0,0
-45.75,81.25,0,0,0,0,0,0
-45.25,81.25,0,0,0,0,0,0
-44.75,81.25,0,0,0,0,0,0
-44.25,81.25,0,0,0,0,0,0
-43.75,81.25,0,0,0,0,0,0
-43.25,81.25,0,0,0,0,0,0
-42.75,81.25,0,0,0,0,0,0
-42.25,81.25,0,0,0,0,0,0
-41.75,81.25,0,0,0,0,0,0
-41.25,81.25,0,0,0,0,0,0
-40.75,81.25,0,0,0,0,0,0
-40.25,81.25,0,0,0,0,0,0
-39.75,81.25,0,0,0,0,0,0
-39.25,81.25,0,0,0,0,0,0
-38.75,81.25,0,0,0,0,0,0
-38.25,81.25,0,0,0,0,0,0
-37.75,81.25,0,0,0,0,0,0
-37.25,81.25,0,0,0,0,0,0
-36.75,81.25,0,0,0,0,0,0
-36.25,81.25,0,0,0,0,0,0
-35.75,81.25,0,0,0,0,0,0
-35.25,81.25,0,0,0,0,0,0
-34.75,81.25,0,0,0,0,0,0
-34.25,81.25,0,0,0,0,0,0
-33.75,81.25,0,0,0,0,0,0
-33.25,81.25,0,0,0,0,0,0
-32.75,81.25,0,0,0,0,0,0
-32.25,81.25,0,0,0,0,0,0
-31.75,81.25,0,0,0,0,0,0
-31.25,81.25,0,0,0,0,0,0
-30.75,81.25,0,0,0,0,0,0
-30.25,81.25,0,0,0,0,0,0
-29.75,81.25,0,0,0,0,0,0
-29.25,81.25,0,0,0,0,0,0
-28.75,81.25,0,0,0,0,0,0
-28.25,81.25,0,0,0,0,0,0
-27.75,81.25,0,0,0,0,0,0
-27.25,81.25,0,0,0,0,0,0
-26.75,81.25,0,0,0,0,0,0
-26.25,81.25,0,0,0,0,0,0
-25.75,81.25,0,0,0,0,0,0
-25.25,81.25,0,0,0,0,0,0
-24.75,81.25,0,0,0,0,0,0
-24.25,81.25,0,0,0,0,0,0
-23.75,81.25,0,0,0,0,0,0
-23.25,81.25,0,0,0,0,0,0
-22.75,81.25,0,0,0,0,0,0
-22.25,81.25,0,0,0,0,0,0
-21.75,81.25,0,0,0,0,0,0
-21.25,81.25,0,0,0,0,0,0
-20.75,81.25,0,0,0,0,0,0
-20.25,81.25,0,0,0,0,0,0
-19.75,81.25,0,0,0,0,0,0
-19.25,81.25,0,0,0,0,0,0
-18.75,81.25,0,0,0,0,0,0
-18.25,81.25,0,0,0,0,0,0
-17.75,81.25,0,0,0,0,0,0
-17.25,81.25,0,0,0,0,0,0
-16.75,81.25,0,0,0,0,0,0
-16.25,81.25,0,0,0,0,0,0
-15.75,81.25,0,0,0,0,0,0
-15.25,81.25,0,0,0,0,0,0
-14.75,81.25,0,0,0,0,0,0
-14.25,81.25,0,0,0,0,0,0
-13.75,81.25,0,0,0,0,0,0
-13.25,81.25,0,0,0,0,0,0
-12.75,81.25,0,0,0,0,0,0
-12.25,81.25,0,0,0,0,0,0
-11.75,81.25,0,0,0,0,0,0
-11.25,81.25,0,0,0,0,0,0
54.75,81.25,0,0,0,0,0,0
55.75,81.25,0,0,0,0,0,0
56.25,81.25,0,0,0,0,0,0
56.75,81.25,0,0,0,0,0,0
57.25,81.25,0,0,0,0,0,0
57.75,81.25,0,0,0,0,0,0
58.25,81.25,0,0,0,0,0,0
60.75,81.25,0,0,0,0,0,0
61.25,81.25,0,0,0,0,0,0
61.75,81.25,0,0,0,0,0,0
64.25,81.25,0,0,0,0,0,0
64.75,81.25,0,0,0,0,0,0
65.25,81.25,0,0,0,0,0,0
